Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:37,16##,HICKORY,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:40,9##,ARTHUR,WARD 5
Tree Request,Forestry and Horticulture,E-Mail,8/2/2016 9:43,9##,FELIX,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:46,14##,GROVE,WARD 2
Dirty Yard,Bylaw Enforcement,E-Mail,8/2/2016 9:46,10##,MARION,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,8/2/2016 9:46,9##,MCKAY,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 9:48,12##,LAUZON,WARD 6
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:50,45##,PLEASANT,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 9:51,14##,PIERRE,WARD 4
Illegal Dumping Public Property,Environmental Services,Phone,8/2/2016 9:55,4##,RANDOLPH,WARD 2
Road Maintenance,Maintenance,Phone,8/2/2016 9:58,42##,LONGFELLOW,WARD 1
Sidewalk Construction & Repair,Maintenance,Phone,8/2/2016 9:59,11##,CAMPBELL,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 10:12,83##,ENFIELD,WARD 6
Tree Request,Forestry and Horticulture,Phone,8/2/2016 10:15,37##,MONTCALM,WARD 2
Sewer Maintenance,Maintenance,Phone,8/2/2016 10:17,37##,MONTCALM,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:19,11##,HICKORY,WARD 5
Building/Land - Improper Use,Inspections,Phone,8/2/2016 10:25,33##,RANKIN,WARD 1
Garbage Not Collected,Environmental Services,Phone,8/2/2016 10:26,37##,VAUGHAN,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:29,19##,FRANCOIS,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:30,19##,FRANCOIS,WARD 5
Tree Request,Forestry and Horticulture,E-Mail,8/2/2016 10:39,36##,SANDWICH,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:40,9##,MARION,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:42,1##,LOUIS,WARD 4
Property Flooding / Grading,Inspections,Phone,8/2/2016 10:43,10##,LAKE LAGUNA,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:45,13##,DOUGALL,WARD 3
Swimming Pool,Inspections,Phone,8/2/2016 10:51,17##,FORD,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 10:56,1##,HANNA,WARD 3
Sewer Maintenance,Maintenance,Phone,8/2/2016 10:56,41##,MOUNT SINAI,WARD 1
Rodent Extermination,Environmental Services,Phone,8/2/2016 10:58,23##,CALIFORNIA,WARD 10
Abandoned Vehicle,Parking Enforcement,Phone,8/2/2016 11:01,24##,RANDOLPH,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 11:03,983##,ST CLAIR,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 11:08,54##,HAIG,WARD 8
Dirty Yard,Bylaw Enforcement,E-Mail,8/2/2016 11:11,32##,WALKER,WARD 9
Building Conditions,Inspections,E-Mail,8/2/2016 11:13,32##,WALKER,WARD 9
Rodent Extermination,Environmental Services,Phone,8/2/2016 11:14,77##,CLAIRVIEW,WARD 6
Municipal Parking Garage,Traffic Operations,Phone,8/2/2016 11:20, , , 
Protection of Parks,Bylaw Enforcement,E-Mail,8/2/2016 11:32,1##,TECUMSEH,WARD 3
Dead Animal Removal,Environmental Services,Phone,8/2/2016 11:35,12##,PRINCE,WARD 2
Tree Request,Forestry and Horticulture,E-Mail,8/2/2016 11:35,22##,WELLESLEY,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 11:42,988##,GOYEAU,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 11:42,1##,GILES,WARD 3
Recycling Not Collected,Environmental Services,Phone,8/2/2016 11:49,4##,KENNEDY,WARD 1
Tree Request,Forestry and Horticulture,E-Mail,8/2/2016 11:50,80##,HANDY,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 11:57,14##,POLONIA PARK,WARD 8
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:00,26##,CURRY,WARD 10
Garbage Not Collected,Environmental Services,Phone,8/2/2016 12:03,5##,JOHN HARVEY,WARD 9
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:04,19##,EC ROW,WARD 9
Garbage Not Collected,Environmental Services,Phone,8/2/2016 12:04,3##,GERALDINE,WARD 9
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:08,14##,GEORGE,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:10, ,"GARDEN COURT DR & EDGAR ST, WINDSOR",WARD 6
Rodent Extermination,Environmental Services,Phone,8/2/2016 12:13,3##,LAPORTE,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:14,9##,WALKER,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:17,9##,WALKER,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:21,38##,GLENFIELD,WARD 2
Dead Animal Removal,Environmental Services,Phone,8/2/2016 12:24,13##,GEORGE,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:26,9##,RAYMO,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:29,11##,ALBERT,WARD 5
Building Conditions,Inspections,Phone,8/2/2016 12:29,55##,CLARENCE,WARD 8
Sewer Maintenance,Maintenance,Phone,8/2/2016 12:31,37##,VAUGHAN,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:31,37##,VAUGHAN,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:35,17##,UNIVERSITY,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 12:47,42##,STAGECOACH,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 12:50,3##,GLENGARRY,WARD 3
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:00,35##,RANDOLPH,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:03,35##,RANDOLPH,WARD 1
Sewer Maintenance,Maintenance,Phone,8/2/2016 13:06, ,"CHRISTINA CRES & SOUTHWOOD LAKES BLVD, WINDSOR",WARD 1
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:10,11##,BONADONNA,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:14,29##,EVERTS,WARD 10
Shoulder Maintenance,Maintenance,Phone,8/2/2016 13:14,6##,EDINBOROUGH,WARD 10
Construction Site Conditions,Inspections,Phone,8/2/2016 13:17,45##,SOUTHWOOD LAKES,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:27,22##,HALL,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 13:34,17##,ASPENSHORE,WARD 7
Tree Request,Forestry and Horticulture,Phone,8/2/2016 13:38,86##,DARLINGTON,WARD 6
Garbage Preparation,Bylaw Enforcement,Phone,8/2/2016 13:45,14##,GLADSTONE,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/2/2016 14:01,20##,BUCKINGHAM,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 14:08,8##,WALKER,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 14:09,20##,ARGYLE,WARD 4
Municipal Parking Garage,Traffic Operations,Phone,8/2/2016 14:10, , , 
Tree Request,Forestry and Horticulture,Phone,8/2/2016 14:15,86##,DARLINGTON,WARD 6
Alley Maintenance,Maintenance,Phone,8/2/2016 14:16,13##,PIERRE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 14:34,11##,CHILVER,WARD 4
Garbage Preparation,Bylaw Enforcement,E-Mail,8/2/2016 14:43,35##,KING,WARD 2
Building Conditions,Inspections,Phone,8/2/2016 14:49,17##,ST LUKE,WARD 5
Noise,Bylaw Enforcement,Phone,8/2/2016 14:52,11##,CURRY,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 15:01,15##,PACIFIC,WARD 10
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,8/2/2016 15:07,8##,STANLEY,WARD 10
Garbage Not Collected,Environmental Services,Phone,8/2/2016 15:28,17##,NORTHWAY,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/2/2016 15:29,20##,VIMY,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/2/2016 15:30,19##,EVERTS,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 15:32,11##,GRAND MARAIS,WARD 10
Road Clean-Up Request,Environmental Services,Phone,8/2/2016 15:34,30##,RANKIN,WARD 1
Rodent Extermination,Environmental Services,Phone,8/2/2016 15:44,17##,ALEXIS,WARD 5
Sewer Maintenance,Maintenance,Phone,8/2/2016 15:46,18##,DURHAM,WARD 4
Road Maintenance,Maintenance,Phone,8/2/2016 15:46,947##,DOUGALL,WARD 1
Public Property Obstructions,Infrastructure Coordination and Development,Phone,8/2/2016 15:48,3##,HANNA,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 15:49,3##,HANNA,WARD 3
Sidewalk Construction & Repair,Maintenance,Phone,8/2/2016 15:51,9##,HALL,WARD 4
Recycling Not Collected,Environmental Services,Phone,8/2/2016 15:58,50##,WYANDOTTE,WARD 6
Dirty Yard,Bylaw Enforcement,Web Intake,8/2/2016 15:59, , ,WARD 5
Sewer Maintenance,Maintenance,Phone,8/2/2016 16:01,7##,BRIDGE,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 16:10,7##,WINDSOR,WARD 3
Road Clean-Up Request,Environmental Services,Phone,8/2/2016 16:22,4##,PELISSIER,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/2/2016 16:24,32##,DOUGALL,WARD 1
Dirty Yard,Bylaw Enforcement,Web Intake,8/2/2016 16:29, , ,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 16:37,5##,WELLINGTON,WARD 3
Shoulder Maintenance,Maintenance,E-Mail,8/2/2016 16:40,6##,SPRUCEWOOD,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/2/2016 16:41,22##,WELLESLEY,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/2/2016 16:42,23##,ASKIN,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/2/2016 16:49,2##,MARENTETTE,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,8/2/2016 16:56,6##,GLENGARRY,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,8/2/2016 16:58,17##,LABADIE,WARD 5
Garbage Not Collected,Environmental Services,Phone,8/2/2016 17:04,34##,CROSS,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 17:28,6##,ATKINSON,WARD 10
Parking Meter,Traffic Operations,Phone,8/2/2016 17:34,21##,WYANDOTTE,WARD 2
Garbage Not Collected,Environmental Services,Phone,8/2/2016 17:34,4##,PARTINGTON,WARD 2
Building Conditions,Inspections,Phone,8/2/2016 17:35,7##,BRIDGE,WARD 2
Tree Request,Forestry and Horticulture,Phone,8/2/2016 17:42,12##,LINCOLN,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/2/2016 17:50,12##,LINCOLN,WARD 4
Dead Animal Removal,Environmental Services,Phone,8/2/2016 18:00, ,"HOWARD AVE & CABANA RD E, WINDSOR",WARD 9
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 7:36,4##,BRODHEAD,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 8:11,10##,CAMPBELL,WARD 2
Garbage Not Collected,Environmental Services,Phone,8/3/2016 8:14,4##,ERIE,WARD 3
Tree Request,Forestry and Horticulture,Phone,8/3/2016 8:20, ,"PARENT AVE & CAPITOL ST, WINDSOR",WARD 10
Garbage Not Collected,Environmental Services,Phone,8/3/2016 8:33,9##,PELISSIER,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/3/2016 8:36,15##,BRUCE,WARD 3
Rodent Extermination,Environmental Services,Phone,8/3/2016 8:59,38##,VAUGHAN,WARD 2
Garbage Not Collected,Environmental Services,Phone,8/3/2016 9:08,15##,HOWARD,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 9:13,23##,RANKIN,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 9:16,15##,VICTORIA,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 9:19,34##,BYNG,WARD 9
Sewer Maintenance,Maintenance,Phone,8/3/2016 9:26,24##,BUCKINGHAM,WARD 8
3-Day Parking Infraction,Parking Enforcement,Phone,8/3/2016 9:30,16##,PRINCE,WARD 2
Garbage Not Collected,Environmental Services,Phone,8/3/2016 9:31,14##,HOWARD,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 9:35,14##,FLORENCE,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 9:36,29##,MANFRED,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 9:37,10##,GILES,WARD 4
Public Property Obstructions,Infrastructure Coordination and Development,Phone,8/3/2016 9:38,10##,GLADSTONE,WARD 4
Rodent Extermination,Environmental Services,Phone,8/3/2016 9:44,23##,MERCER,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/3/2016 9:47,11##,RIVERSIDE,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 9:52,13##,PARENT,WARD 4
Sidewalk Construction & Repair,Maintenance,Phone,8/3/2016 9:53,27##,JOS ST LOUIS,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 10:00,11##,HICKORY,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:02,8##,SILVERDALE,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:02,34##,MARK,WARD 1
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 10:06,10##,WYANDOTTE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 10:11,11##,GLIDDEN,WARD 6
Rodent Extermination,Environmental Services,Phone,8/3/2016 10:15,16##,JEFFERSON,WARD 8
Public Property Obstructions,Infrastructure Coordination and Development,Phone,8/3/2016 10:15,11##,GLIDDEN,WARD 6
Garbage Not Collected,Environmental Services,Phone,8/3/2016 10:23,11##,BALSAMO,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:28,1##,OAK,WARD 3
Road Clean-Up Request,Environmental Services,Phone,8/3/2016 10:31,7##,GILES,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:49,27##,ACADEMY,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:50, ,THOMPSON BLVD & RIVERSIDE DR E,WARD 6
Tree Request,Forestry and Horticulture,Phone,8/3/2016 10:52,19##,SOMME,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 11:02,28##,BRAMLEY,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 11:11,6##,LAKE TRAIL,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 11:13,24##,TURNER,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 11:13,24##,TURNER,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 11:16,13##,MARENTETTE,WARD 4
Road Maintenance,Maintenance,Phone,8/3/2016 11:20, ,"TRANBY AVE & MATTHEW BRADY BLVD, WINDSOR",WARD 6
Garbage Not Collected,Environmental Services,E-Mail,8/3/2016 11:21,26##,NORFOLK,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 11:23,6##,DOUGALL,WARD 3
Dead Animal Removal,Environmental Services,Phone,8/3/2016 11:37,19##,WESTCOTT,WARD 5
Tree Request,Forestry and Horticulture,E-Mail,8/3/2016 11:40,36##,KING,WARD 2
Tree Request,Forestry and Horticulture,E-Mail,8/3/2016 11:40,36##,KING,WARD 2
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 11:56,6##,GILES,WARD 4
Noise,Bylaw Enforcement,Phone,8/3/2016 11:56, ,RIVERSIDE,WARD 3
Abandoned Vehicle,Parking Enforcement,Phone,8/3/2016 11:59, ,"ARTHUR RD & ONTARIO ST, WINDSOR",WARD 5
Property Flooding / Grading,Inspections,Phone,8/3/2016 12:01,15##,ROSSINI,WARD 5
Parking Meter,Traffic Operations,Phone,8/3/2016 12:03,1##,CHATHAM,WARD 3
Alley Maintenance,Maintenance,Phone,8/3/2016 12:04,23##,LOUIS,WARD 4
Sewer Maintenance,Maintenance,Phone,8/3/2016 12:04,13##,BRUCE,WARD 3
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 12:05,25##,RICHMOND,WARD 5
Garbage Not Collected,Environmental Services,Phone,8/3/2016 12:13,7##,CHURCH,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 12:15,1##,PINE,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,8/3/2016 12:18,11##,DEVONSHIRE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 12:20,26##,RICHMOND,WARD 5
Building Conditions,Inspections,Phone,8/3/2016 12:23,26##,RICHMOND,WARD 5
Tree Request,Forestry and Horticulture,Phone,8/3/2016 12:25,22##,EVERTS,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 12:25,22##,EVERTS,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 12:26,22##,EVERTS,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 12:28,84##,CLAIRVIEW,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 12:36,16##,PARENT,WARD 4
Sewer Maintenance,Maintenance,Phone,8/3/2016 12:40,16##,PIERRE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 12:43,19##,BERNARD,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 12:44,19##,BERNARD,WARD 5
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 12:59,4##,AYLMER,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 13:00,2##,WATKINS,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 13:02,35##,RUSSELL,WARD 2
Sewer Maintenance,Maintenance,Phone,8/3/2016 13:08,3##,LAPORTE,WARD 6
Garbage Not Collected,Environmental Services,Phone,8/3/2016 13:17,8##,ELLIOTT,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,8/3/2016 13:21, ,TUSCARORA,WARD 3
Tree Request,Forestry and Horticulture,Phone,8/3/2016 13:23,23##,MOY,WARD 4
Rodent Extermination,Environmental Services,Phone,8/3/2016 13:24,10##,BUCKINGHAM,WARD 6
Downspout Disconnect,Contracts and Field Services,Phone,8/3/2016 13:27,24##,WESTMINSTER,WARD 8
Rodent Extermination,Environmental Services,Phone,8/3/2016 13:29,23##,FRASER,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 13:32,50##,COLBOURNE,WARD 8
Garbage Preparation,Bylaw Enforcement,Phone,8/3/2016 13:33,3##,GILES,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 13:33,32##,VIRGINIA PARK,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 13:38,19##,FRANCOIS,WARD 5
Public Property Obstructions,Infrastructure Coordination and Development,Phone,8/3/2016 14:04,27##,HOWARD,WARD 10
Tree Request,Forestry and Horticulture,Phone,8/3/2016 14:06,12##,COVENTRY,WARD 6
Road Maintenance,Maintenance,Phone,8/3/2016 14:09,4##,UNIVERSITY,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,8/3/2016 14:19,24##,BUCKINGHAM,WARD 8
Garbage Preparation,Bylaw Enforcement,E-Mail,8/3/2016 14:19,33##,SANDWICH,WARD 2
Recycling Not Collected,Environmental Services,Phone,8/3/2016 14:26,3##,MCKAY,WARD 2
Garbage Not Collected,Environmental Services,Phone,8/3/2016 14:30,26##,LANGLOIS,WARD 10
Rodent Extermination,Environmental Services,Phone,8/3/2016 14:34,12##,MOY,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 14:38,33##,BRUCE,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 14:49,11##,WINDERMERE,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 14:53,77##,CLAIRVIEW,WARD 6
Abandoned Vehicle,Parking Enforcement,Phone,8/3/2016 14:53,14##,HANSEN,WARD 9
Sewer Maintenance,Maintenance,Phone,8/3/2016 14:53,11##,WINDERMERE,WARD 4
Recycling Not Collected,Environmental Services,Phone,8/3/2016 14:57,8##,CHILVER,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 15:03,8##,WALKER,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 15:06,8##,GILES,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 15:07,10##,GREENPARK,WARD 7
Shoulder Maintenance,Maintenance,Phone,8/3/2016 15:12,24##,GEORGE,WARD 5
Public Property Obstructions,Infrastructure Coordination and Development,Text,8/3/2016 15:12,38##,DOUGALL,WARD 1
Illegal Dumping Public Property,Environmental Services,Phone,8/3/2016 15:16, ,DOUGALL AVE & OUELLETTE PL,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 15:17,17##,NORTHWAY,WARD 10
Garbage Not Collected,Environmental Services,Phone,8/3/2016 15:22,8##,STANLEY,WARD 10
Downspout Disconnect,Contracts and Field Services,Phone,8/3/2016 15:22,15##,HALL,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,8/3/2016 15:27, ,WALLACE AVE & HOLBURN ST,WARD 9
3-Day Parking Infraction,Parking Enforcement,Phone,8/3/2016 15:33,8##,NOVA,WARD 9
Tree Request,Forestry and Horticulture,Phone,8/3/2016 15:34,22##,CHILVER,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 15:44,110##,LEATHORNE,WARD 7
Garbage Not Collected,Environmental Services,Phone,8/3/2016 15:49,7##,ELLIOTT,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 15:55,18##,OLIVE,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 15:57,15##,BENJAMIN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 15:57,15##,BENJAMIN,WARD 4
Garbage Not Collected,Environmental Services,Phone,8/3/2016 15:59,10##,VICTORIA,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/3/2016 16:00,11##,ELSMERE,WARD 4
Road Clean-Up Request,Environmental Services,Phone,8/3/2016 16:02, ,JANETTE AVE & TECUMSEH RD W,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/3/2016 16:04,10##,NIAGARA,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 16:07,21##,CHURCH,WARD 3
Garbage Not Collected,Environmental Services,Phone,8/3/2016 16:07,7##,HILDEGARDE,WARD 10
Road Clean-Up Request,Environmental Services,Phone,8/3/2016 16:08,7##,TECUMSEH,WARD 3
Tree Request,Forestry and Horticulture,Phone,8/3/2016 16:10,15##,CHERRYLAWN,WARD 1
Tree Request,Forestry and Horticulture,Phone,8/3/2016 16:14,9##,REEDMERE,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 16:14,16##,LINCOLN,WARD 4
Tree Request,Forestry and Horticulture,Phone,8/3/2016 16:16,9##,REEDMERE,WARD 6
Building Conditions,Inspections,Phone,8/3/2016 16:18,32##,WALKER,WARD 9
Sidewalk Construction & Repair,Maintenance,Phone,8/3/2016 16:20,12##,CHILVER,WARD 4
Garbage Not Collected,Environmental Services,Phone,8/3/2016 16:23,5##,LISA,WARD 1
Rodent Extermination,Environmental Services,Phone,8/3/2016 16:28,9##,FAIRVIEW,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,8/3/2016 16:32,988##,KILDARE,WARD 4
Recycling Not Collected,Environmental Services,Phone,8/3/2016 16:32,3##,MCKAY,WARD 2
Dead Animal Removal,Environmental Services,Phone,8/3/2016 16:41,12##,LAKEVIEW,WARD 7
Tree Request,Forestry and Horticulture,Phone,8/3/2016 17:23,14##,WESTMINSTER,WARD 8
