rank,name
352,Fletcher
353,Mckinney
354,Page
355,Dawson
356,Joseph
357,Marquez
358,Reeves
359,Klein
360,Espinoza
361,Baldwin
362,Moran
363,Love
364,Robbins
365,Higgins
366,Ball
367,Cortez
368,Le
369,Griffith
370,Bowen
371,Sharp
372,Cummings
373,Ramsey
374,Hardy
375,Swanson
376,Barber
377,Acosta
378,Luna
379,Chandler
380,Blair
381,Daniel
382,Cross
383,Simon
384,Dennis
385,Oconnor
386,Quinn
387,Gross
388,Navarro
389,Moss
390,Fitzgerald
391,Doyle
392,Mclaughlin
393,Rojas
394,Rodgers
395,Stevenson
396,Singh
397,Yang
398,Figueroa
399,Harmon
400,Newton
401,Paul
402,Manning
403,Garner
404,Mcgee
405,Reese
406,Francis
407,Burgess
408,Adkins
409,Goodman
410,Curry
411,Brady
412,Christensen
413,Potter
414,Walton
415,Goodwin
416,Mullins
417,Molina
418,Webster
419,Fischer
420,Campos
421,Avila
422,Sherman
423,Todd
424,Chang
425,Blake
426,Malone
427,Wolf
428,Hodges
429,Juarez
430,Gill
431,Farmer
432,Hines
433,Gallagher
434,Duran
435,Hubbard
436,Cannon
437,Miranda
438,Wang
439,Saunders
440,Tate
441,Mack
442,Hammond
443,Carrillo
444,Townsend
445,Wise
446,Ingram
447,Barton
448,Mejia
449,Ayala
450,Schroeder
451,Hampton
452,Rowe
453,Parsons
454,Frank
455,Waters
456,Strickland
457,Osborne
458,Maxwell
459,Chan
460,Deleon
461,Norman
462,Harrington
463,Casey
464,Patton
465,Logan
466,Bowers
467,Mueller
468,Glover
469,Floyd
470,Hartman
471,Buchanan
472,Cobb
473,French
474,Kramer
475,Mccormick
476,Clarke
477,Tyler
478,Gibbs
479,Moody
480,Conner
481,Sparks
482,Mcguire
483,Leon
484,Bauer
485,Norton
486,Pope
487,Flynn
488,Hogan
489,Robles
490,Salinas
491,Yates
492,Lindsey
493,Lloyd
494,Marsh
495,Mcbride
496,Owen
497,Solis
498,Pham
499,Lang
500,Pratt
501,Lara
502,Brock
503,Ballard
504,Trujillo
505,Shaffer
506,Drake
507,Roman
508,Aguirre
509,Morton
510,Stokes
511,Lamb
512,Pacheco
513,Patrick
514,Cochran
515,Shepherd
516,Cain
517,Burnett
518,Hess
519,Li
520,Cervantes
521,Olsen
522,Briggs
523,Ochoa
524,Cabrera
525,Velasquez
526,Montoya
527,Roth
528,Meyers
529,Cardenas
530,Fuentes
531,Weiss
532,Hoover
533,Wilkins
534,Nicholson
535,Underwood
536,Short
537,Carson
538,Morrow
539,Colon
540,Holloway
541,Summers
542,Bryan
543,Petersen
544,Mckenzie
545,Serrano
546,Wilcox
547,Carey
548,Clayton
549,Poole
550,Calderon
551,Gallegos
552,Greer
553,Rivas
554,Guerra
555,Decker
556,Collier
557,Wall
558,Whitaker
559,Bass
560,Flowers
561,Davenport
562,Conley
563,Houston
564,Huff
565,Copeland
566,Hood
567,Monroe
568,Massey
569,Roberson
570,Combs
571,Franco
572,Larsen
573,Pittman
574,Randall
575,Skinner
576,Wilkinson
577,Kirby
578,Cameron
579,Bridges
580,Anthony
581,Richard
582,Kirk
583,Bruce
584,Singleton
585,Mathis
586,Bradford
587,Boone
588,Abbott
589,Charles
590,Allison
591,Sweeney
592,Atkinson
593,Horn
594,Jefferson
595,Rosales
596,York
597,Christian
598,Phelps
599,Farrell
600,Castaneda
601,Nash
602,Dickerson
603,Bond
604,Wyatt
605,Foley
606,Chase
607,Gates
608,Vincent
609,Mathews
610,Hodge
611,Garrison
612,Trevino
613,Villarreal
614,Heath
615,Dalton
616,Valencia
617,Callahan
618,Hensley
619,Atkins
620,Huffman
621,Roy
622,Boyer
623,Shields
624,Lin
625,Hancock
626,Grimes
627,Glenn
628,Cline
629,Delacruz
630,Camacho
631,Dillon
632,Parrish
633,Oneill
634,Melton
635,Booth
636,Kane
637,Berg
638,Harrell
639,Pitts
640,Savage
641,Wiggins
642,Brennan
643,Salas
644,Marks
645,Russo
646,Sawyer
647,Baxter
648,Golden
649,Hutchinson
650,Liu
651,Walter
652,Mcdowell
653,Wiley
654,Rich
655,Humphrey
656,Johns
657,Koch
658,Suarez
659,Hobbs
660,Beard
661,Gilmore
662,Ibarra
663,Keith
664,Macias
665,Khan
666,Andrade
667,Ware
668,Stephenson
669,Henson
670,Wilkerson
671,Dyer
672,Mcclure
673,Blackwell
674,Mercado
675,Tanner
676,Eaton
677,Clay
678,Barron
679,Beasley
680,Oneal
681,Preston
682,Small
683,Wu
684,Zamora
685,Macdonald
686,Vance
687,Snow
688,Mcclain
689,Stafford
690,Orozco
691,Barry
692,English
693,Shannon
694,Kline
695,Jacobson
696,Woodard
697,Huang
698,Kemp
699,Mosley
700,Prince
701,Merritt
702,Hurst
703,Villanueva
704,Roach
705,Nolan
706,Lam
707,Yoder
708,Mccullough
709,Lester
710,Santana
711,Valenzuela
712,Winters
713,Barrera
714,Leach
715,Orr
716,Berger
717,Mckee
718,Strong
719,Conway
720,Stein
721,Whitehead
722,Bullock
723,Escobar
724,Knox
725,Meadows
726,Solomon
727,Velez
728,Odonnell
729,Kerr
730,Stout
731,Blankenship
732,Browning
733,Kent
734,Lozano
735,Bartlett
736,Pruitt
737,Buck
738,Barr
739,Gaines
740,Durham
741,Gentry
742,Mcintyre
743,Sloan
744,Melendez
745,Rocha
746,Herman
747,Sexton
748,Moon
749,Hendricks
750,Rangel
751,Stark
752,Lowery
753,Hardin
754,Hull
755,Sellers
756,Ellison
757,Calhoun
758,Gillespie
759,Mora
760,Knapp
761,Mccall
762,Morse
763,Dorsey
764,Weeks
765,Nielsen
766,Livingston
767,Leblanc
768,Mclean
769,Bradshaw
770,Glass
771,Middleton
772,Buckley
773,Schaefer
774,Frost
775,Howe
776,House
777,Mcintosh
778,Ho
779,Pennington
780,Reilly
781,Hebert
782,Mcfarland
783,Hickman
784,Noble
785,Spears
786,Conrad
787,Arias
788,Galvan
789,Velazquez
790,Huynh
791,Frederick
792,Randolph
793,Cantu
794,Fitzpatrick
795,Mahoney
796,Peck
797,Villa
798,Michael
799,Donovan
800,Mcconnell
801,Walls
802,Boyle
803,Mayer
804,Zuniga
805,Giles
806,Pineda
807,Pace
808,Hurley
809,Mays
810,Mcmillan
811,Crosby
812,Ayers
813,Case
814,Bentley
815,Shepard
816,Everett
817,Pugh
818,David
819,Mcmahon
820,Dunlap
821,Bender
822,Hahn
823,Harding
824,Acevedo
825,Raymond
826,Blackburn
827,Duffy
828,Landry
829,Dougherty
830,Bautista
831,Shah
832,Potts
833,Arroyo
834,Valentine
835,Meza
836,Gould
837,Vaughan
838,Fry
839,Rush
840,Avery
841,Herring
842,Dodson
843,Clements
844,Sampson
845,Tapia
846,Bean
847,Lynn
848,Crane
849,Farley
850,Cisneros
851,Benton
852,Ashley
853,Mckay
854,Finley
855,Best
856,Blevins
857,Friedman
858,Moses
859,Sosa
860,Blanchard
861,Huber
862,Frye
863,Krueger
864,Bernard
865,Rosario
866,Rubio
867,Mullen
868,Benjamin
869,Haley
870,Chung
871,Moyer
872,Choi
873,Horne
874,Yu
875,Woodward
876,Ali
877,Nixon
878,Hayden
879,Rivers
880,Estes
881,Mccarty
882,Richmond
883,Stuart
884,Maynard
885,Brandt
886,Oconnell
887,Hanna
888,Sanford
889,Sheppard
890,Church
891,Burch
892,Levy
893,Rasmussen
894,Coffey
895,Ponce
896,Faulkner
897,Donaldson
898,Schmitt
899,Novak
900,Costa
901,Montes
902,Booker
903,Cordova
904,Waller
905,Arellano
906,Maddox
907,Mata
908,Bonilla
909,Stanton
910,Compton
911,Kaufman
912,Dudley
913,Mcpherson
914,Beltran
915,Dickson
916,Mccann
917,Villegas
918,Proctor
919,Hester
920,Cantrell
921,Daugherty
922,Cherry
923,Bray
924,Davila
925,Rowland
926,Levine
927,Madden
928,Spence
929,Good
930,Irwin
931,Werner
932,Krause
933,Petty
934,Whitney
935,Baird
936,Hooper
937,Pollard
938,Zavala
939,Jarvis
940,Holden
941,Haas
942,Hendrix
943,Mcgrath
944,Bird
945,Lucero
946,Terrell
947,Riggs
948,Joyce
949,Mercer
950,Rollins
951,Galloway
952,Duke
953,Odom
954,Andersen
955,Downs
956,Hatfield
957,Benitez
958,Archer
959,Huerta
960,Travis
961,Mcneil
962,Hinton
963,Zhang
964,Hays
965,Mayo
966,Fritz
967,Branch
968,Mooney
969,Ewing
970,Ritter
971,Esparza
972,Frey
973,Braun
974,Gay
975,Riddle
976,Haney
977,Kaiser
978,Holder
979,Chaney
980,Mcknight
981,Gamble
982,Vang
983,Cooley
984,Carney
985,Cowan
986,Forbes
987,Ferrell
988,Davies
989,Barajas
990,Shea
991,Osborn
992,Bright
993,Cuevas
994,Bolton
995,Murillo
996,Lutz
997,Duarte
998,Kidd
999,Key
1000,Cooke
